question_text,statement_1,statement_2,options,explanation,metadata,difficulty_level,difficulty_rating,estimated_time
"What is the product of two decimal numbers, A and B?",A = 0.5 and B = 0.3,A * B = 0.15,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": false}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": true}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": false}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","Statement (2) gives the product directly, hence it is sufficient to determine the product of A and B. Statement (1) provides values for A and B, but we still need to multiply them to find the product, making it insufficient alone.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Decimals (DS)""}",Medium,3.0,120
"Is the sum of two decimal numbers, X and Y, greater than 1?",X = 0.65 and Y = 0.35,X + Y = 1.05,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": false}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": true}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": false}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","Statement (2) indicates that the sum of X and Y is 1.05, which is greater than 1. Thus, it is sufficient. Statement (1) confirms the sum but does not directly answer the question without additional calculation.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Decimals (DS)""}",Medium,3.5,150
"What is the difference between two decimal numbers, M and N?",M + N = 2.4,M - N = 0.6,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": false}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": true}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","Combining the equations from both statements allows us to solve for M and N. From M + N = 2.4 and M - N = 0.6, we can determine the values of M and N, thus finding their difference.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Decimals (DS)""}",Hard,4.0,180
What is the value of the fraction a/b if a is 3 times b?,a = 3b.,b = 2.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": true}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": false}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","Statement (1) directly gives the ratio of a to b, allowing us to compute a/b = 3. Statement (2) alone does not provide enough information about a.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Fractions (DS)""}",Easy,2.5,60
Is the fraction x/y greater than 1/2?,x > y.,x + y = 5.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": false}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": true}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","From Statement (1), knowing x > y does not guarantee x/y > 1/2. From Statement (2), x + y = 5 allows us to express y as 5 - x. Combining both statements, we can determine the inequality x > (5 - x)/2, which can be solved to show that x/y can be greater than 1/2.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Fractions (DS)""}",Medium,3.5,120
What is the value of the fraction p/q?,p + q = 12 and p/q = 3/4.,p - q = 4.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": false}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": true}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","Statement (1) gives a direct ratio for p/q, but not the individual values. Statement (2) can be combined with Statement (1) to find exact values for p and q. Therefore, both statements together allow us to determine the value of the fraction.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Fractions (DS)""}",Hard,4.5,180
What is the value of x if x is a fraction?,x is greater than 1/2.,x is less than 3/4.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": false}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": true}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","Using Statement 1, we know x is greater than 1/2, and from Statement 2, we know it is less than 3/4. Together, they provide a range for x (1/2 < x < 3/4), confirming that both statements are necessary to establish the value of x.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Fractions (DS)""}",Medium,3.5,120
What is the value of x if x is a fraction between 0 and 1?,x is equal to 2/5.,x is less than 3/4.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": false}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": true}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","Statement (1) gives a specific value for x, while statement (2 tells us that x is less than 3/4. Together, they confirm that x must be between 0 and 1 and specifically equal to 2/5.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Fractions (DS)""}",Medium,3.5,120
"If a fraction is represented as a/b, what is its value?",a = 3b.,b = 4.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": false}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": true}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","Statement (1) provides a relationship between a and b, while statement (2) gives a specific value for b. Together, they allow us to find the value of the fraction.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Fractions (DS)""}",Medium,3.5,120
What is the value of the fraction x/y?,x = 5 and y = 2.,x + y = 8.,"[{""text"": ""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."", ""correct"": true}, {""text"": ""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."", ""correct"": false}, {""text"": ""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."", ""correct"": false}, {""text"": ""EACH statement ALONE is sufficient."", ""correct"": false}, {""text"": ""Statements (1) and (2) TOGETHER are NOT sufficient."", ""correct"": false}]","Statement (1) gives the specific values of x and y, allowing us to calculate the fraction. Statement (2) alone does not provide specific values for x and y.","{""section"": ""Data Insights"", ""subsection"": ""Data Sufficiency"", ""topic"": ""Arithmetic DS"", ""subtopic"": ""Fractions (DS)""}",Hard,4.0,180
