question,options,explanation,difficulty,metadata
What is the value of 7 multiplied by 8?,"[{""text"": ""54"", ""correct"": ""false""}, {""text"": ""56"", ""correct"": ""true""}, {""text"": ""64"", ""correct"": ""false""}, {""text"": ""72"", ""correct"": ""false""}]",7 multiplied by 8 equals 56.,easy,"{""topic"": ""Multiplication"", ""subtopic"": ""Basic Arithmetic"", ""learningObjective"": ""Understand multiplication of two-digit numbers""}"
What is the square root of 144?,"[{""text"": ""10"", ""correct"": ""false""}, {""text"": ""11"", ""correct"": ""false""}, {""text"": ""12"", ""correct"": ""true""}, {""text"": ""13"", ""correct"": ""false""}]","The square root of 144 is 12, as 12 x 12 equals 144.",medium,"{""topic"": ""Square Roots"", ""subtopic"": ""Algebra"", ""learningObjective"": ""Calculate square roots of perfect squares""}"
"If a triangle has angles of 90 degrees and 45 degrees, what is the measure of the third angle?","[{""text"": ""30 degrees"", ""correct"": ""false""}, {""text"": ""45 degrees"", ""correct"": ""true""}, {""text"": ""60 degrees"", ""correct"": ""false""}, {""text"": ""75 degrees"", ""correct"": ""false""}]","The sum of angles in a triangle is 180 degrees. So, 180 - (90 + 45) = 45 degrees.",medium,"{""topic"": ""Geometry"", ""subtopic"": ""Triangle Angles"", ""learningObjective"": ""Understand the properties of angles in a triangle""}"
What is the value of 8 multiplied by 7?,"[{""text"": ""54"", ""correct"": ""false""}, {""text"": ""56"", ""correct"": ""true""}, {""text"": ""64"", ""correct"": ""false""}, {""text"": ""72"", ""correct"": ""false""}]",The multiplication of 8 and 7 equals 56.,easy,"{""topic"": ""Multiplication"", ""subtopic"": ""Basic Arithmetic"", ""learning objective"": ""To understand basic multiplication""}"
What is the area of a rectangle with a length of 10 units and a width of 5 units?,"[{""text"": ""15 square units"", ""correct"": ""false""}, {""text"": ""50 square units"", ""correct"": ""true""}, {""text"": ""25 square units"", ""correct"": ""false""}, {""text"": ""30 square units"", ""correct"": ""false""}]","The area of a rectangle is calculated as length multiplied by width. Thus, 10 * 5 = 50.",medium,"{""topic"": ""Geometry"", ""subtopic"": ""Area Calculation"", ""learning objective"": ""To calculate the area of rectangles""}"
What is the solution to the equation 2x + 3 = 11?,"[{""text"": ""2"", ""correct"": ""false""}, {""text"": ""4"", ""correct"": ""true""}, {""text"": ""5"", ""correct"": ""false""}, {""text"": ""6"", ""correct"": ""false""}]","To solve for x, subtract 3 from both sides to get 2x = 8, then divide by 2 to find x = 4.",hard,"{""topic"": ""Algebra"", ""subtopic"": ""Linear Equations"", ""learning objective"": ""To solve linear equations for a variable""}"
What is the value of 9 multiplied by 6?,"[{""text"": ""54"", ""correct"": ""true""}, {""text"": ""63"", ""correct"": ""false""}, {""text"": ""72"", ""correct"": ""false""}, {""text"": ""81"", ""correct"": ""false""}]","Multiplying 9 by 6 gives 54, which is the correct answer.",easy,"{""topic"": ""Arithmetic"", ""subtopic"": ""Multiplication"", ""learning objective"": ""To calculate products of whole numbers.""}"
What is the square root of 144?,"[{""text"": ""10"", ""correct"": ""false""}, {""text"": ""11"", ""correct"": ""false""}, {""text"": ""12"", ""correct"": ""true""}, {""text"": ""13"", ""correct"": ""false""}]","The square root of 144 is 12, since 12 multiplied by itself equals 144.",medium,"{""topic"": ""Algebra"", ""subtopic"": ""Square Roots"", ""learning objective"": ""To find the square roots of perfect squares.""}"
What is the value of x if 2x + 4 = 12?,"[{""text"": ""2"", ""correct"": ""false""}, {""text"": ""4"", ""correct"": ""true""}, {""text"": ""6"", ""correct"": ""false""}, {""text"": ""8"", ""correct"": ""false""}]","To solve for x, subtract 4 from both sides to get 2x = 8, then divide by 2 to find x = 4.",medium,"{""topic"": ""Algebra"", ""subtopic"": ""Linear Equations"", ""learning objective"": ""To solve simple linear equations.""}"
What is the value of the expression 8 + 2 * 5?,"[{""text"": ""18"", ""correct"": ""false""}, {""text"": ""20"", ""correct"": ""false""}, {""text"": ""10"", ""correct"": ""true""}, {""text"": ""12"", ""correct"": ""false""}]","According to the order of operations (PEMDAS/BODMAS), you should first perform the multiplication (2 * 5 = 10) and then add 8. So, 8 + 10 = 18.",medium,"{""topic"": ""Mathematics"", ""subtopic"": ""Arithmetic"", ""learning objective"": ""Understand and apply the order of operations""}"
